位置 (x, y, z), 角度 (θ1, θ2, θ3, θ4)
53.50, 19.47, 325.85, 20.00, 75.05, -8.00, 8.00
49.14, -41.23, 314.99, -40.00, 57.95, 36.68, 8.00
49.14, -41.23, 314.99, -40.00, 80.70, -36.68, 8.00
0.00, -167.47, 213.17, -90.00, 10.20, 38.59, 8.00
0.00, -167.47, 213.17, -90.00, 34.09, -38.59, 8.00
177.99, -64.78, 153.35, -20.00, -0.01, 8.04, 8.00
177.99, -64.78, 153.35, -20.00, 5.06, -8.04, 8.00
17.84, 101.17, 282.62, 80.00, 36.67, 54.80, 8.00
17.84, 101.17, 282.62, 80.00, 69.85, -54.80, 8.00
7.34, -4.24, 321.34, -30.01, 72.89, 46.86, 8.00
5.76, 15.81, 332.21, 69.98, 79.18, 18.07, 8.00
97.98, -82.22, 239.01, -40.00, 15.19, 72.47, 8.00
97.98, -82.22, 239.01, -40.00, 57.44, -72.47, 8.00
69.87, -121.01, 273.15, -60.00, 40.00, 8.01, 8.00
69.87, -121.01, 273.15, -60.00, 45.05, -8.01, 8.00
83.73, 145.03, 213.17, 60.00, 10.20, 38.60, 8.00
83.73, 145.03, 213.17, 60.00, 34.10, -38.60, 8.00
29.49, 10.73, 310.66, 19.99, 61.43, 59.46, 8.00
151.22, -55.04, 237.58, -20.00, 21.64, 26.44, 8.00
151.22, -55.04, 237.58, -20.00, 38.19, -26.44, 8.00
28.47, 49.31, 325.85, 60.00, 70.00, 7.99, 8.00
28.47, 49.31, 325.85, 60.00, 75.04, -7.99, 8.00
57.28, 157.37, 213.17, 70.00, 10.20, 38.59, 8.00
57.28, 157.37, 213.17, 70.00, 34.09, -38.59, 8.00
60.59, -34.98, 278.29, -30.00, 39.06, 82.04, 8.00
60.59, -34.98, 278.29, -30.00, 85.55, -82.04, 8.00
32.07, 55.56, 314.99, 60.01, 57.95, 36.67, 8.00
32.07, 55.56, 314.99, 60.01, 80.70, -36.67, 8.00
2.92, 16.57, 332.21, 80.01, 79.18, 18.07, 8.00
110.15, 40.09, 261.92, 20.00, 25.97, 63.71, 8.00
110.15, 40.09, 261.92, 20.00, 63.89, -63.71, 8.00
126.34, -45.98, 214.60, -20.00, 4.32, 81.08, 8.00
126.34, -45.98, 214.60, -20.00, 50.42, -81.08, 8.00
34.98, -60.59, 278.29, -60.00, 39.06, 82.04, 8.00
34.98, -60.59, 278.29, -60.00, 85.55, -82.04, 8.00
173.93, 63.30, 186.12, 20.00, 10.01, 7.97, 8.00
173.93, 63.30, 186.12, 20.00, 15.04, -7.97, 8.00
40.62, -7.16, 325.67, -10.00, 68.55, 27.46, 8.00
40.62, -7.16, 325.67, -10.00, 85.73, -27.46, 8.00
87.57, -151.67, 217.63, -60.00, 19.99, 8.02, 8.00
87.57, -151.67, 217.63, -60.00, 25.05, -8.02, 8.00
58.61, -101.52, 261.92, -60.00, 25.97, 63.70, 8.00
58.61, -101.52, 261.92, -60.00, 63.88, -63.70, 8.00
169.67, 0.00, 187.99, 0.00, -0.89, 49.48, 8.00
169.67, 0.00, 187.99, 0.00, 29.32, -49.48, 8.00
-0.00, -180.85, 201.94, -90.00, 14.96, 7.98, 8.00
-0.00, -180.85, 201.94, -90.00, 19.99, -7.98, 8.00
110.77, 63.95, 239.01, 30.00, 15.19, 72.48, 8.00
110.77, 63.95, 239.01, 30.00, 57.44, -72.48, 8.00
30.41, 172.48, 217.63, 80.00, 20.01, 7.97, 8.00
30.41, 172.48, 217.63, 80.00, 25.04, -7.97, 8.00
-0.00, 180.85, 201.94, 90.00, 14.96, 7.98, 8.00
-0.00, 180.85, 201.94, 90.00, 19.99, -7.98, 8.00
160.29, 92.54, 186.12, 30.00, 10.00, 8.02, 8.00
160.29, 92.54, 186.12, 30.00, 15.06, -8.02, 8.00
29.46, 167.09, 187.99, 80.00, -0.89, 49.48, 8.00
29.46, 167.09, 187.99, 80.00, 29.32, -49.48, 8.00
0.00, 41.24, 325.67, 90.00, 68.56, 27.46, 8.00
0.00, 41.24, 325.67, 90.00, 85.73, -27.46, 8.00
167.09, 29.46, 187.99, 10.00, -0.89, 49.48, 8.00
167.09, 29.46, 187.99, 10.00, 29.32, -49.48, 8.00
107.64, -128.29, 162.81, -50.00, -11.85, 59.74, 8.00
107.64, -128.29, 162.81, -50.00, 23.99, -59.74, 8.00
24.26, -137.61, 273.15, -80.00, 39.99, 8.02, 8.00
24.26, -137.61, 273.15, -80.00, 45.05, -8.02, 8.00
54.68, 150.22, 246.94, 70.00, 30.00, 8.01, 8.00
54.68, 150.22, 246.94, 70.00, 35.05, -8.01, 8.00
8.44, -23.18, 332.99, -69.99, 80.00, 7.98, 8.00
8.44, -23.18, 332.99, -69.99, 85.04, -7.98, 8.00
102.76, 122.46, 246.94, 50.00, 30.00, 8.01, 8.00
102.76, 122.46, 246.94, 50.00, 35.05, -8.01, 8.00
0.00, -134.45, 214.60, -90.00, 4.32, 81.07, 8.00
0.00, -134.45, 214.60, -90.00, 50.42, -81.07, 8.00
0.00, -24.67, 332.99, -90.00, 80.01, 7.98, 8.00
0.00, -24.67, 332.99, -90.00, 85.04, -7.98, 8.00
0.00, 167.47, 213.17, 90.00, 10.20, 38.59, 8.00
0.00, 167.47, 213.17, 90.00, 34.09, -38.59, 8.00
96.57, -115.09, 260.49, -50.00, 34.72, 8.97, 8.00
96.57, -115.09, 260.49, -50.00, 40.38, -8.97, 8.00
56.23, 67.01, 313.21, 50.00, 59.99, 8.04, 8.00
56.23, 67.01, 313.21, 50.00, 65.06, -8.04, 8.00
182.28, 32.14, 186.12, 10.00, 10.01, 7.96, 8.00
182.28, 32.14, 186.12, 10.00, 15.04, -7.96, 8.00
112.58, -134.16, 217.63, -50.00, 20.00, 8.00, 8.00
112.58, -134.16, 217.63, -50.00, 25.05, -8.00, 8.00
9.89, -56.07, 325.85, -80.00, 70.00, 7.99, 8.00
9.89, -56.07, 325.85, -80.00, 75.05, -7.99, 8.00
116.43, 67.22, 214.60, 30.00, 4.32, 81.08, 8.00
116.43, 67.22, 214.60, 30.00, 50.42, -81.08, 8.00
-0.00, 143.04, 230.27, 90.00, 12.18, 62.38, 8.00
-0.00, 143.04, 230.27, 90.00, 49.42, -62.38, 8.00
145.10, 121.75, 153.35, 40.00, -0.01, 8.04, 8.00
145.10, 121.75, 153.35, 40.00, 5.06, -8.04, 8.00
75.12, -130.11, 260.49, -60.00, 34.72, 8.96, 8.00
75.12, -130.11, 260.49, -60.00, 40.38, -8.96, 8.00
35.13, 96.53, 282.62, 70.00, 36.67, 54.80, 8.00
35.13, 96.53, 282.62, 70.00, 69.85, -54.80, 8.00
64.78, -177.99, 153.35, -70.00, -0.01, 8.04, 8.00
64.78, -177.99, 153.35, -70.00, 5.06, -8.04, 8.00
0.00, 159.86, 246.94, 90.00, 29.99, 8.03, 8.00
0.00, 159.86, 246.94, 90.00, 35.06, -8.03, 8.00
0.00, 52.09, 296.16, 90.00, 50.19, 71.06, 8.00
33.48, 39.90, 296.16, 50.00, 50.20, 71.06, 8.00
60.28, -21.94, 314.99, -20.00, 57.95, 36.68, 8.00
60.28, -21.94, 314.99, -20.00, 80.70, -36.68, 8.00
-0.00, 76.76, 302.66, 90.00, 49.09, 48.93, 8.00
-0.00, 76.76, 302.66, 90.00, 78.99, -48.93, 8.00
141.79, 118.97, 186.12, 40.00, 10.01, 7.98, 8.00
141.79, 118.97, 186.12, 40.00, 15.04, -7.98, 8.00
82.20, 29.92, 313.21, 20.00, 59.99, 8.04, 8.00
82.20, 29.92, 313.21, 20.00, 65.06, -8.04, 8.00
68.90, -12.15, 278.29, -10.00, 39.06, 82.04, 8.00
68.90, -12.15, 278.29, -10.00, 85.55, -82.04, 8.00
116.43, -67.22, 214.60, -30.00, 4.32, 81.08, 8.00
116.43, -67.22, 214.60, -30.00, 50.42, -81.08, 8.00
26.51, 31.59, 325.67, 50.00, 68.56, 27.46, 8.00
26.51, 31.59, 325.67, 50.00, 85.73, -27.46, 8.00
10.73, 29.49, 310.66, 70.01, 61.43, 59.46, 8.00
157.44, -27.76, 246.94, -10.00, 30.01, 7.96, 8.00
157.44, -27.76, 246.94, -10.00, 35.03, -7.96, 8.00
27.94, 158.48, 237.58, 80.00, 21.64, 26.45, 8.00
27.94, 158.48, 237.58, 80.00, 38.19, -26.45, 8.00
31.59, 26.51, 325.67, 40.00, 68.56, 27.46, 8.00
31.59, 26.51, 325.67, 40.00, 85.73, -27.46, 8.00
0.00, -102.73, 282.62, -90.00, 36.67, 54.80, 8.00
0.00, -102.73, 282.62, -90.00, 69.85, -54.80, 8.00
0.00, -56.94, 325.85, -90.00, 70.01, 7.98, 8.00
0.00, -56.94, 325.85, -90.00, 75.04, -7.98, 8.00
83.73, 145.03, 162.81, 60.00, -11.85, 59.74, 8.00
83.73, 145.03, 162.81, 60.00, 23.99, -59.74, 8.00
14.57, -8.41, 332.21, -29.99, 79.18, 18.07, 8.00
16.57, -2.92, 332.21, -9.99, 79.18, 18.07, 8.00
57.28, 157.37, 162.81, 70.00, -11.85, 59.73, 8.00
57.28, 157.37, 162.81, 70.00, 23.99, -59.73, 8.00
35.13, -96.53, 282.62, -70.00, 36.67, 54.80, 8.00
35.13, -96.53, 282.62, -70.00, 69.85, -54.80, 8.00
118.97, -141.79, 186.12, -50.00, 10.01, 7.98, 8.00
118.97, -141.79, 186.12, -50.00, 15.04, -7.98, 8.00
-0.00, -187.99, 169.67, -90.00, 4.96, 7.98, 8.00
-0.00, -187.99, 169.67, -90.00, 9.99, -7.98, 8.00
109.06, 129.97, 187.99, 50.00, -0.89, 49.49, 8.00
109.06, 129.97, 187.99, 50.00, 29.32, -49.49, 8.00
41.23, -49.14, 314.99, -50.00, 57.95, 36.68, 8.00
41.23, -49.14, 314.99, -50.00, 80.70, -36.68, 8.00
19.47, 53.50, 325.85, 70.00, 70.00, 8.00, 8.00
19.47, 53.50, 325.85, 70.00, 75.05, -8.00, 8.00
115.09, -96.57, 260.49, -40.00, 34.72, 8.97, 8.00
115.09, -96.57, 260.49, -40.00, 40.38, -8.97, 8.00
39.45, 108.40, 295.47, 70.00, 50.00, 8.00, 8.00
39.45, 108.40, 295.47, 70.00, 55.05, -8.00, 8.00
88.37, -74.15, 295.47, -40.00, 50.00, 7.99, 8.00
88.37, -74.15, 295.47, -40.00, 55.04, -7.99, 8.00
6.49, -5.45, 321.34, -40.02, 72.89, 46.86, 8.00
67.01, 56.23, 313.21, 40.00, 59.99, 8.04, 8.00
67.01, 56.23, 313.21, 40.00, 65.06, -8.04, 8.00
63.30, -173.93, 186.12, -70.00, 10.01, 7.97, 8.00
63.30, -173.93, 186.12, -70.00, 15.04, -7.97, 8.00
157.37, -57.28, 213.17, -20.00, 10.20, 38.59, 8.00
157.37, -57.28, 213.17, -20.00, 34.09, -38.59, 8.00
83.56, -14.73, 300.49, -10.00, 47.33, 45.80, 8.00
83.56, -14.73, 300.49, -10.00, 75.43, -45.80, 8.00
49.31, -28.47, 325.85, -30.00, 70.00, 7.99, 8.00
49.31, -28.47, 325.85, -30.00, 75.04, -7.99, 8.00
26.04, -45.11, 296.16, -60.00, 50.20, 71.06, 8.00
94.71, 164.04, 153.35, 60.00, 0.01, 7.98, 8.00
94.71, 164.04, 153.35, 60.00, 5.04, -7.98, 8.00
0.00, 84.85, 300.49, 90.00, 47.33, 45.80, 8.00
0.00, 84.85, 300.49, 90.00, 75.43, -45.80, 8.00
-0.00, 125.29, 258.15, 90.00, 24.32, 59.15, 8.00
-0.00, 125.29, 258.15, 90.00, 59.85, -59.15, 8.00
92.54, -160.29, 186.12, -60.00, 10.00, 8.02, 8.00
92.54, -160.29, 186.12, -60.00, 15.06, -8.02, 8.00
7.34, 4.24, 321.34, 30.01, 72.89, 46.86, 8.00
164.92, 29.08, 213.17, 10.00, 10.20, 38.60, 8.00
164.92, 29.08, 213.17, 10.00, 34.10, -38.60, 8.00
141.79, -118.97, 186.12, -40.00, 10.01, 7.98, 8.00
141.79, -118.97, 186.12, -40.00, 15.04, -7.98, 8.00
0.00, 167.47, 162.81, 90.00, -11.85, 59.73, 8.00
0.00, 167.47, 162.81, 90.00, 23.99, -59.73, 8.00
159.44, 58.03, 187.99, 20.00, -0.89, 49.47, 8.00
159.44, 58.03, 187.99, 20.00, 29.32, -49.47, 8.00
47.79, -131.31, 273.15, -70.00, 40.00, 7.99, 8.00
47.79, -131.31, 273.15, -70.00, 45.04, -7.99, 8.00
2.92, -16.57, 332.21, -80.01, 79.18, 18.07, 8.00
5.45, -6.49, 321.34, -49.98, 72.89, 46.86, 8.00
64.15, 0.00, 314.99, 0.00, 57.95, 36.67, 8.00
64.15, 0.00, 314.99, 0.00, 80.70, -36.67, 8.00
137.61, -24.26, 273.15, -10.00, 39.99, 8.02, 8.00
137.61, -24.26, 273.15, -10.00, 45.05, -8.02, 8.00
157.44, 27.76, 246.94, 10.00, 30.01, 7.96, 8.00
157.44, 27.76, 246.94, 10.00, 35.03, -7.96, 8.00
67.01, -56.23, 313.21, -40.00, 59.99, 8.04, 8.00
67.01, -56.23, 313.21, -40.00, 65.06, -8.04, 8.00
0.00, 189.42, 153.35, 90.00, 0.01, 7.96, 8.00
0.00, 189.42, 153.35, 90.00, 5.04, -7.96, 8.00
23.73, -134.57, 189.42, -80.00, -6.67, 89.47, 8.00
23.73, -134.57, 189.42, -80.00, 42.69, -89.47, 8.00
145.03, 83.73, 213.17, 30.00, 10.20, 38.60, 8.00
145.03, 83.73, 213.17, 30.00, 34.10, -38.60, 8.00
0.00, 127.91, 239.01, 90.00, 15.19, 72.47, 8.00
0.00, 127.91, 239.01, 90.00, 57.44, -72.47, 8.00
45.98, 126.34, 214.60, 70.00, 4.32, 81.08, 8.00
45.98, 126.34, 214.60, 70.00, 50.42, -81.08, 8.00
40.09, 110.15, 261.92, 70.00, 25.97, 63.71, 8.00
40.09, 110.15, 261.92, 70.00, 63.89, -63.71, 8.00
0.00, 160.92, 237.58, 90.00, 21.63, 26.46, 8.00
0.00, 160.92, 237.58, 90.00, 38.19, -26.46, 8.00
175.14, 0.00, 217.63, 0.00, 20.01, 7.97, 8.00
175.14, 0.00, 217.63, 0.00, 25.04, -7.97, 8.00
0.00, -175.14, 217.63, -90.00, 20.01, 7.97, 8.00
0.00, -175.14, 217.63, -90.00, 25.04, -7.97, 8.00
0.00, -69.96, 278.29, -90.00, 39.06, 82.04, 8.00
0.00, -69.96, 278.29, -90.00, 85.56, -82.04, 8.00
51.30, 9.05, 296.16, 10.00, 50.19, 71.06, 8.00
167.47, 0.00, 162.81, 0.00, -11.85, 59.73, 8.00
167.47, 0.00, 162.81, 0.00, 23.99, -59.73, 8.00
5.45, 30.91, 310.66, 80.00, 61.42, 59.45, 8.00
78.69, -66.03, 282.62, -40.00, 36.67, 54.80, 8.00
78.69, -66.03, 282.62, -40.00, 69.85, -54.80, 8.00
-0.00, -52.35, 296.12, -90.00, 50.12, 71.00, 8.00
130.11, -75.12, 260.49, -30.00, 34.72, 8.96, 8.00
130.11, -75.12, 260.49, -30.00, 40.38, -8.96, 8.00
115.44, 20.36, 261.92, 10.00, 25.97, 63.70, 8.00
115.44, 20.36, 261.92, 10.00, 63.89, -63.70, 8.00
0.00, -169.67, 187.99, -90.00, -0.89, 49.48, 8.00
0.00, -169.67, 187.99, -90.00, 29.32, -49.48, 8.00
-0.00, -78.56, 275.99, -90.00, 36.32, 79.55, 8.00
-0.00, -78.56, 275.99, -90.00, 81.77, -79.55, 8.00
15.86, 18.90, 332.99, 50.00, 80.01, 7.98, 8.00
15.86, 18.90, 332.99, 50.00, 85.04, -7.98, 8.00
73.49, -42.43, 300.49, -30.00, 47.33, 45.79, 8.00
73.49, -42.43, 300.49, -30.00, 75.43, -45.79, 8.00
9.05, 51.30, 296.16, 80.00, 50.19, 71.06, 8.00
84.83, -146.94, 187.99, -60.00, -0.89, 49.48, 8.00
84.83, -146.94, 187.99, -60.00, 29.32, -49.48, 8.00
0.00, 16.83, 332.21, 90.00, 79.18, 18.07, 8.00
-0.00, -143.04, 230.27, -90.00, 12.18, 62.38, 8.00
-0.00, -143.04, 230.27, -90.00, 49.42, -62.38, 8.00
134.16, 112.58, 217.63, 40.00, 20.00, 8.00, 8.00
134.16, 112.58, 217.63, 40.00, 25.05, -8.00, 8.00
2.90, 7.97, 321.34, 70.01, 72.89, 46.86, 8.00
139.36, -80.46, 237.58, -30.00, 21.63, 26.46, 8.00
139.36, -80.46, 237.58, -30.00, 38.19, -26.46, 8.00
0.00, -84.85, 300.49, -90.00, 47.33, 45.80, 8.00
0.00, -84.85, 300.49, -90.00, 75.43, -45.80, 8.00
89.82, 107.04, 273.15, 50.00, 40.00, 8.01, 8.00
89.82, 107.04, 273.15, 50.00, 45.05, -8.01, 8.00
0.00, -139.73, 273.15, -90.00, 39.99, 8.03, 8.00
0.00, -139.73, 273.15, -90.00, 45.06, -8.03, 8.00
113.61, -20.03, 295.47, -10.00, 50.01, 7.96, 8.00
113.61, -20.03, 295.47, -10.00, 55.04, -7.96, 8.00
164.92, -29.08, 213.17, -10.00, 10.20, 38.60, 8.00
164.92, -29.08, 213.17, -10.00, 34.10, -38.60, 8.00
145.10, -121.75, 153.35, -40.00, -0.01, 8.04, 8.00
145.10, -121.75, 153.35, -40.00, 5.06, -8.04, 8.00
123.27, 103.44, 237.58, 40.00, 21.63, 26.46, 8.00
123.27, 103.44, 237.58, 40.00, 38.19, -26.46, 8.00
36.60, -43.62, 325.85, -50.00, 70.01, 7.98, 8.00
36.60, -43.62, 325.85, -50.00, 75.04, -7.98, 8.00
134.16, -112.58, 217.63, -40.00, 20.00, 8.00, 8.00
134.16, -112.58, 217.63, -40.00, 25.05, -8.00, 8.00
16.83, 0.00, 332.21, 0.00, 79.18, 18.07, 8.00
157.37, -57.28, 162.81, -20.00, -11.85, 59.73, 8.00
157.37, -57.28, 162.81, -20.00, 23.99, -59.73, 8.00
18.90, -15.86, 332.99, -40.00, 80.01, 7.98, 8.00
18.90, -15.86, 332.99, -40.00, 85.04, -7.98, 8.00
164.92, 29.08, 162.81, 10.00, -11.85, 59.74, 8.00
164.92, 29.08, 162.81, 10.00, 23.99, -59.74, 8.00
138.45, -79.93, 246.94, -30.00, 30.01, 7.98, 8.00
138.45, -79.93, 246.94, -30.00, 35.04, -7.98, 8.00
150.24, 0.00, 260.49, 0.00, 34.73, 8.95, 8.00
150.24, 0.00, 260.49, 0.00, 40.37, -8.95, 8.00
122.46, 102.76, 246.94, 40.00, 30.00, 8.01, 8.00
122.46, 102.76, 246.94, 40.00, 35.05, -8.01, 8.00
28.47, -49.31, 325.85, -60.00, 70.00, 7.99, 8.00
28.47, -49.31, 325.85, -60.00, 75.04, -7.99, 8.00
41.24, 0.00, 325.67, 0.00, 68.56, 27.46, 8.00
41.24, 0.00, 325.67, 0.00, 85.73, -27.46, 8.00
43.75, -120.19, 239.01, -70.00, 15.19, 72.47, 8.00
43.75, -120.19, 239.01, -70.00, 57.44, -72.47, 8.00
19.47, -53.50, 325.85, -70.00, 70.00, 8.00, 8.00
19.47, -53.50, 325.85, -70.00, 75.05, -8.00, 8.00
189.42, 0.00, 153.35, 0.00, 0.01, 7.96, 8.00
189.42, 0.00, 153.35, 0.00, 5.04, -7.96, 8.00
108.40, 39.45, 295.47, 20.00, 50.00, 8.00, 8.00
108.40, 39.45, 295.47, 20.00, 55.05, -8.00, 8.00
68.32, 118.34, 189.42, 60.00, -6.67, 89.47, 8.00
68.32, 118.34, 189.42, 60.00, 42.69, -89.47, 8.00
89.82, -107.04, 273.15, -50.00, 40.00, 8.01, 8.00
89.82, -107.04, 273.15, -50.00, 45.05, -8.01, 8.00
21.36, -12.33, 332.99, -30.00, 80.00, 7.99, 8.00
21.36, -12.33, 332.99, -30.00, 85.05, -7.99, 8.00
45.11, -26.04, 296.16, -30.00, 50.20, 71.06, 8.00
87.57, 151.67, 217.63, 60.00, 19.99, 8.02, 8.00
87.57, 151.67, 217.63, 60.00, 25.05, -8.02, 8.00
115.09, 96.57, 260.49, 40.00, 34.72, 8.97, 8.00
115.09, 96.57, 260.49, 40.00, 40.38, -8.97, 8.00
45.98, -126.34, 214.60, -70.00, 4.32, 81.08, 8.00
45.98, -126.34, 214.60, -70.00, 50.42, -81.08, 8.00
0.00, 139.73, 273.15, 90.00, 39.99, 8.03, 8.00
0.00, 139.73, 273.15, 90.00, 45.06, -8.03, 8.00
10.82, 12.89, 332.21, 49.99, 79.18, 18.07, 8.00
24.04, -20.17, 310.66, -40.00, 61.43, 59.46, 8.00
-0.00, 15.94, 327.89, 90.00, 74.99, 32.18, 8.00
0.00, 24.67, 332.99, 90.00, 80.01, 7.98, 8.00
0.00, 24.67, 332.99, 90.00, 85.04, -7.98, 8.00
145.03, 83.73, 162.81, 30.00, -11.85, 59.74, 8.00
145.03, 83.73, 162.81, 30.00, 23.99, -59.74, 8.00
20.36, -115.44, 261.92, -80.00, 25.97, 63.70, 8.00
20.36, -115.44, 261.92, -80.00, 63.89, -63.70, 8.00
20.62, 35.72, 325.67, 60.00, 68.56, 27.46, 8.00
20.62, 35.72, 325.67, 60.00, 85.73, -27.46, 8.00
29.92, -82.20, 313.21, -70.00, 59.99, 8.04, 8.00
29.92, -82.20, 313.21, -70.00, 65.06, -8.04, 8.00
14.73, -83.56, 300.49, -80.00, 47.33, 45.80, 8.00
14.73, -83.56, 300.49, -80.00, 75.43, -45.80, 8.00
146.94, 84.83, 187.99, 30.00, -0.89, 49.48, 8.00
146.94, 84.83, 187.99, 30.00, 29.32, -49.48, 8.00
29.08, -164.92, 213.17, -80.00, 10.20, 38.60, 8.00
29.08, -164.92, 213.17, -80.00, 34.10, -38.60, 8.00
29.08, 164.92, 213.17, 80.00, 10.20, 38.60, 8.00
29.08, 164.92, 213.17, 80.00, 34.10, -38.60, 8.00
107.04, -89.82, 273.15, -40.00, 40.00, 8.01, 8.00
107.04, -89.82, 273.15, -40.00, 45.05, -8.01, 8.00
29.02, -79.74, 300.49, -70.00, 47.33, 45.79, 8.00
29.02, -79.74, 300.49, -70.00, 75.43, -45.79, 8.00
56.23, -67.01, 313.21, -50.00, 59.99, 8.04, 8.00
56.23, -67.01, 313.21, -50.00, 65.06, -8.04, 8.00
-0.00, 52.35, 296.12, 90.00, 50.12, 71.00, 8.00
23.35, 132.40, 214.60, 80.00, 4.32, 81.08, 8.00
23.35, 132.40, 214.60, 80.00, 50.42, -81.08, 8.00
54.54, -65.00, 300.49, -50.00, 47.33, 45.79, 8.00
54.54, -65.00, 300.49, -50.00, 75.43, -45.79, 8.00
121.01, 69.87, 273.15, 30.00, 40.00, 8.01, 8.00
121.01, 69.87, 273.15, 30.00, 45.05, -8.01, 8.00
24.04, 20.17, 310.66, 40.00, 61.43, 59.46, 8.00
-0.00, 189.42, 136.65, 90.00, -5.04, 7.96, 8.00
-0.00, 189.42, 136.65, 90.00, -0.01, -7.96, 8.00
88.96, -51.36, 282.62, -30.00, 36.67, 54.81, 8.00
88.96, -51.36, 282.62, -30.00, 69.85, -54.81, 8.00
55.56, 32.07, 314.99, 29.99, 57.95, 36.67, 8.00
55.56, 32.07, 314.99, 29.99, 80.70, -36.67, 8.00
35.72, 20.62, 325.67, 30.00, 68.56, 27.46, 8.00
35.72, 20.62, 325.67, 30.00, 85.73, -27.46, 8.00
31.38, 0.00, 310.66, 0.00, 61.43, 59.46, 8.00
0.00, -127.91, 239.01, -90.00, 15.19, 72.47, 8.00
0.00, -127.91, 239.01, -90.00, 57.44, -72.47, 8.00
4.28, -24.29, 332.99, -80.01, 80.00, 7.99, 8.00
4.28, -24.29, 332.99, -80.01, 85.05, -7.99, 8.00
145.03, -83.73, 213.17, -30.00, 10.20, 38.60, 8.00
145.03, -83.73, 213.17, -30.00, 34.10, -38.60, 8.00
-0.00, -29.44, 285.44, -90.00, 53.44, 89.67, 8.00
58.03, -159.44, 187.99, -70.00, -0.89, 49.47, 8.00
58.03, -159.44, 187.99, -70.00, 29.32, -49.47, 8.00
0.00, -64.15, 314.99, -90.00, 57.95, 36.67, 8.00
0.00, -64.15, 314.99, -90.00, 80.70, -36.67, 8.00
84.85, 0.00, 300.49, 0.00, 47.33, 45.80, 8.00
84.85, 0.00, 300.49, 0.00, 75.43, -45.80, 8.00
12.33, -21.36, 332.99, -60.00, 80.00, 7.99, 8.00
12.33, -21.36, 332.99, -60.00, 85.05, -7.99, 8.00
129.97, 109.06, 187.99, 40.00, -0.89, 49.49, 8.00
129.97, 109.06, 187.99, 40.00, 29.32, -49.49, 8.00
164.92, -29.08, 162.81, -10.00, -11.85, 59.74, 8.00
164.92, -29.08, 162.81, -10.00, 23.99, -59.74, 8.00
51.39, -141.18, 260.49, -70.00, 34.73, 8.94, 8.00
51.39, -141.18, 260.49, -70.00, 40.37, -8.94, 8.00
